Angstroms, e1, e2, n, k, Absorption 
3340, 5.354841e+00, 9.114895e+00, 2.821905e+00, 1.615025e+00, 5.663253e-02 
3350, 5.361038e+00, 9.060618e+00, 2.818589e+00, 1.607297e+00, 5.614171e-02 
3360, 5.366504e+00, 9.008287e+00, 2.815328e+00, 1.599865e+00, 5.566524e-02 
3370, 5.371318e+00, 8.957824e+00, 2.812126e+00, 1.592714e+00, 5.520255e-02 
3380, 5.375550e+00, 8.909151e+00, 2.808987e+00, 1.585830e+00, 5.475307e-02 
3390, 5.379266e+00, 8.862196e+00, 2.805912e+00, 1.579201e+00, 5.431626e-02 
3400, 5.382523e+00, 8.816886e+00, 2.802903e+00, 1.572813e+00, 5.389160e-02 
3410, 5.385374e+00, 8.773152e+00, 2.799962e+00, 1.566656e+00, 5.347859e-02 
3420, 5.387867e+00, 8.730927e+00, 2.797089e+00, 1.560717e+00, 5.307674e-02 
3430, 5.390043e+00, 8.690149e+00, 2.794284e+00, 1.554986e+00, 5.268560e-02 
3440, 5.391941e+00, 8.650755e+00, 2.791549e+00, 1.549454e+00, 5.230472e-02 
3450, 5.393596e+00, 8.612686e+00, 2.788884e+00, 1.544110e+00, 5.193369e-02 
3460, 5.395039e+00, 8.575887e+00, 2.786287e+00, 1.538946e+00, 5.157208e-02 
3470, 5.396297e+00, 8.540304e+00, 2.783758e+00, 1.533952e+00, 5.121952e-02 
3480, 5.397396e+00, 8.505885e+00, 2.781297e+00, 1.529122e+00, 5.087564e-02 
3490, 5.398358e+00, 8.472580e+00, 2.778902e+00, 1.524447e+00, 5.054009e-02 
3500, 5.399202e+00, 8.440344e+00, 2.776574e+00, 1.519921e+00, 5.021253e-02 
3510, 5.399947e+00, 8.409131e+00, 2.774310e+00, 1.515536e+00, 4.989264e-02 
3520, 5.400607e+00, 8.378898e+00, 2.772110e+00, 1.511286e+00, 4.958012e-02 
3530, 5.401198e+00, 8.349605e+00, 2.769972e+00, 1.507164e+00, 4.927467e-02 
3540, 5.401732e+00, 8.321213e+00, 2.767895e+00, 1.503166e+00, 4.897602e-02 
3550, 5.402218e+00, 8.293685e+00, 2.765877e+00, 1.499286e+00, 4.868391e-02 
3560, 5.402668e+00, 8.266986e+00, 2.763919e+00, 1.495519e+00, 4.839809e-02 
3570, 5.403090e+00, 8.241083e+00, 2.762017e+00, 1.491860e+00, 4.811831e-02 
3580, 5.403491e+00, 8.215943e+00, 2.760170e+00, 1.488304e+00, 4.784435e-02 
3590, 5.403877e+00, 8.191536e+00, 2.758378e+00, 1.484847e+00, 4.757599e-02 
3600, 5.404255e+00, 8.167833e+00, 2.756638e+00, 1.481485e+00, 4.731303e-02 
3610, 5.404628e+00, 8.144807e+00, 2.754949e+00, 1.478214e+00, 4.705527e-02 
3620, 5.405002e+00, 8.122431e+00, 2.753310e+00, 1.475030e+00, 4.680252e-02 
3630, 5.405379e+00, 8.100681e+00, 2.751719e+00, 1.471931e+00, 4.655461e-02 
3640, 5.405763e+00, 8.079533e+00, 2.750176e+00, 1.468912e+00, 4.631137e-02 
3650, 5.406155e+00, 8.058965e+00, 2.748677e+00, 1.465971e+00, 4.607264e-02 
3660, 5.406559e+00, 8.038954e+00, 2.747223e+00, 1.463105e+00, 4.583825e-02 
3670, 5.406976e+00, 8.019480e+00, 2.745812e+00, 1.460311e+00, 4.560808e-02 
3680, 5.407406e+00, 8.000525e+00, 2.744443e+00, 1.457587e+00, 4.538197e-02 
3690, 5.407851e+00, 7.982069e+00, 2.743113e+00, 1.454929e+00, 4.515979e-02 
3700, 5.408312e+00, 7.964095e+00, 2.741823e+00, 1.452336e+00, 4.494142e-02 
3710, 5.408789e+00, 7.946586e+00, 2.740570e+00, 1.449805e+00, 4.472673e-02 
3720, 5.409282e+00, 7.929526e+00, 2.739354e+00, 1.447335e+00, 4.451562e-02 
3730, 5.409791e+00, 7.912900e+00, 2.738174e+00, 1.444923e+00, 4.430796e-02 
3740, 5.410317e+00, 7.896693e+00, 2.737027e+00, 1.442568e+00, 4.410366e-02 
3750, 5.410858e+00, 7.880892e+00, 2.735914e+00, 1.440267e+00, 4.390262e-02 
3760, 5.411414e+00, 7.865483e+00, 2.734833e+00, 1.438019e+00, 4.370473e-02 
3770, 5.411986e+00, 7.850453e+00, 2.733783e+00, 1.435822e+00, 4.350991e-02 
3780, 5.412572e+00, 7.835791e+00, 2.732764e+00, 1.433675e+00, 4.331807e-02 
3790, 5.413171e+00, 7.821486e+00, 2.731773e+00, 1.431577e+00, 4.312913e-02 
3800, 5.413783e+00, 7.807526e+00, 2.730811e+00, 1.429525e+00, 4.294300e-02 
3810, 5.414408e+00, 7.793900e+00, 2.729875e+00, 1.427519e+00, 4.275961e-02 
3820, 5.415044e+00, 7.780600e+00, 2.728967e+00, 1.425558e+00, 4.257888e-02 
3830, 5.415690e+00, 7.767615e+00, 2.728083e+00, 1.423640e+00, 4.240075e-02 
3840, 5.416345e+00, 7.754937e+00, 2.727225e+00, 1.421763e+00, 4.222515e-02 
3850, 5.417009e+00, 7.742556e+00, 2.726390e+00, 1.419928e+00, 4.205201e-02 
3860, 5.417681e+00, 7.730465e+00, 2.725579e+00, 1.418133e+00, 4.188127e-02 
3870, 5.418360e+00, 7.718655e+00, 2.724790e+00, 1.416376e+00, 4.171288e-02 
